"項目","単位","1980_S55","1981_S56","1982_S57","1983_S58","1984_S59","1985_S60","1986_S61","1987_S62","1988_S63","1989_H1","1990_H2","1991_H3","1992_H4","1993_H5","1994_H6","1995_H7","1996_H8","1997_H9","1998_H10","1999_H11","2000_H12","2001_H13","2002_H14","2003_H15","2004_H16","2005_H17","有効数字(少数桁)"
"農業編（土地）_18_経営耕地総面積_田_調査日前3年間作付けをしなかった田_面積","ha","564.0","","","","","510.0","","","","","587.0","","","","","433.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_畑のある農家数","戸","21521.0","","","","","19278.0","","","","","14994.0","","","","","14053.0","","","","","12397.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_面積","ha","1988.0","","","","","1844.0","","","","","1714.0","","","","","1607.0","","","","","1581.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_普通畑（農家数）","戸","20650.0","","","","","18530.0","","","","","14205.0","","","","","13125.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_普通畑（面積）","ha","1745.0","","","","","1612.0","","","","","1531.0","","","","","1393.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_普通畑（うち調査日前1年間に飼料用作物だけを作った畑）農家数","戸","57.0","","","","","35.0","","","","","23.0","","","","","32.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_普通畑（うち調査日前1年間に飼料用作物だけを作った畑）面積","ha","9.0","","","","","12.0","","","","","10.0","","","","","22.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_牧草専用地（農家数）","戸","60.0","","","","","60.0","","","","","33.0","","","","","8.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_牧草専用地（面積）","ha","26.0","","","","","32.0","","","","","8.0","","","","","6.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_調査日前1年間作付けしなかった畑（農家数）","戸","2187.0","","","","","1979.0","","","","","1439.0","","","","","1912.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_調査日前1年間作付けしなかった畑（面積）","ha","217.0","","","","","200.0","","","","","175.0","","","","","208.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_18_経営耕地総面積_樹園地_樹園地のある農家数","戸","35759.0","","","","","32880.0","","","","","29376.0","","","","","27216.0","","","","","24601.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_面積","ha","18961.0","","","","","18455.0","","","","","18044.0","","","","","17770.0","","","","","17455.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_果樹園（農家数）","戸","34626.0","","","","","31824.0","","","","","28028.0","","","","","25963.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_果樹園（面積）","ha","18757.0","","","","","18240.0","","","","","17647.0","","","","","17366.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_茶園（農家数）","戸","720.0","","","","","766.0","","","","","536.0","","","","","447.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_茶園（面積）","ha","66.0","","","","","56.0","","","","","48.0","","","","","38.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_桑園（農家数）","戸","116.0","","","","","48.0","","","","","10.0","","","","","3.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_桑園（面積）","ha","31.0","","","","","12.0","","","","","2.0","","","","","0.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_その他の樹園地（農家数）","戸","1186.0","","","","","1070.0","","","","","1607.0","","","","","1495.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_その他の樹園地（面積）","ha","108.0","","","","","146.0","","","","","347.0","","","","","365.0","","","","","…","","","","","…",""
"農業編（土地）_18_販売農家","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_18_経営耕地総面積","ha","…","","","","","30483.0","","","","","28987.0","","","","","27552.0","","","","","26315.0","","","","","24502.63",""
"農業編（土地）_18_経営耕地総面積_田","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_18_経営耕地総面積_田_田のある農家数","戸","…","","","","","27539.0","","","","","24036.0","","","","","21399.0","","","","","18446.0","","","","","15487.0",""
"農業編（土地）_18_経営耕地総面積_田_面積","ha","…","","","","","11064.0","","","","","10068.0","","","","","8912.0","","","","","8059.0","","","","","7034.53",""
"農業編（土地）_18_経営耕地総面積_田_稲を作った田（農家数）","戸","…","","","","","26399.0","","","","","22915.0","","","","","20021.0","","","","","17161.0","","","","","14172.0",""
"農業編（土地）_18_経営耕地総面積_田_稲を作った田（面積）","ha","…","","","","","9695.0","","","","","8369.0","","","","","7556.0","","","","","6631.0","","","","","5878.99",""
"農業編（土地）_18_経営耕地総面積_田_稲を作った田（うち二毛作をした田）農家数","戸","…","","","","","7788.0","","","","","4891.0","","","","","4001.0","","","","","2941.0","","","","","2286.0",""
"農業編（土地）_18_経営耕地総面積_田_稲を作った田（うち二毛作をした田）面積","ha","…","","","","","1532.0","","","","","1035.0","","","","","795.0","","","","","638.0","","","","","503.05",""
"農業編（土地）_18_経営耕地総面積_田_調査日前1年間稲以外の作物だけを作った田","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_18_経営耕地総面積_田_調査日前2年間稲以外の作物だけを作った田_農家数（計）","戸","…","","","","","8041.0","","","","","7625.0","","","","","5992.0","","","","","5227.0","","","","","4519.0",""
"農業編（土地）_18_経営耕地総面積_田_調査日前3年間稲以外の作物だけを作った田_面積","ha","…","","","","","938.0","","","","","1161.0","","","","","978.0","","","","","946.0","","","","","840.36",""
"農業編（土地）_18_経営耕地総面積_田_調査日前4年間稲以外の作物だけを作った田_作物別農家数（麦類）","戸","…","","","","","8.0","","","","","17.0","","","","","3.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_田_調査日前5年間稲以外の作物だけを作った田_作物別農家数（大豆）","戸","…","","","","","1165.0","","","","","996.0","","","","","178.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_田_調査日前6年間稲以外の作物だけを作った田_作物別農家数（そば）","戸","…","","","","","-","","","","","…","","","","","…","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_田_調査日前7年間稲以外の作物だけを作った田_作物別農家数（野菜類）","戸","…","","","","","5751.0","","","","","6009.0","","","","","4148.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_田_調査日前8年間稲以外の作物だけを作った田_作物別農家数（てんさい）","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_田_調査日前9年間稲以外の作物だけを作った田_作物別農家数（飼料用作物）","戸","…","","","","","116.0","","","","","161.0","","","","","21.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_田_調査日前10年間稲以外の作物だけを作った田_作物別農家数（花き類・花木）","戸","…","","","","","…","","","","","…","","","","","1377.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_田_調査日前11年間稲以外の作物だけを作った田_作物別農家数（その他）","戸","…","","","","","1001.0","","","","","1928.0","","","","","265.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_田_調査日前1年間作付けをしなかった田","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_18_経営耕地総面積_田_調査日前2年間作付けをしなかった田_農家数","戸","…","","","","","3572.0","","","","","3964.0","","","","","2897.0","","","","","3358.0","","","","","2208.0",""
"農業編（土地）_18_経営耕地総面積_田_調査日前3年間作付けをしなかった田_面積","ha","…","","","","","431.0","","","","","538.0","","","","","378.0","","","","","482.0","","","","","315.18",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_調査日前4年間作付けをしなかった田","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_畑のある農家数","戸","…","","","","","13573.0","","","","","10147.0","","","","","9718.0","","","","","7919.0","","","","","6439.0",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_面積","ha","…","","","","","1557.0","","","","","1424.0","","","","","1358.0","","","","","1279.0","","","","","1128.83",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_普通畑（農家数）","戸","…","","","","","13018.0","","","","","9456.0","","","","","8959.0","","","","","7561.0","","","","","6151.0",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_普通畑（面積）","ha","…","","","","","1360.0","","","","","1254.0","","","","","1167.0","","","","","1145.0","","","","","1015.4",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_普通畑（うち調査日前1年間に飼料用作物だけを作った畑）農家数","戸","…","","","","","33.0","","","","","21.0","","","","","30.0","","","","","11.0","","","","","11.0",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_普通畑（うち調査日前1年間に飼料用作物だけを作った畑）面積","ha","…","","","","","12.0","","","","","10.0","","","","","22.0","","","","","5.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_牧草専用地（農家数）","戸","…","","","","","56.0","","","","","29.0","","","","","5.0","","","","","15.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_牧草専用地（面積）","ha","…","","","","","32.0","","","","","7.0","","","","","5.0","","","","","24.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_調査日前1年間作付けしなかった畑（農家数）","戸","…","","","","","1441.0","","","","","1258.0","","","","","1545.0","","","","","954.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_畑（樹園地を除く）_調査日前1年間作付けしなかった畑（面積）","ha","…","","","","","165.0","","","","","163.0","","","","","186.0","","","","","110.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_18_経営耕地総面積_樹園地_樹園地のある農家数","戸","…","","","","","27418.0","","","","","24712.0","","","","","23053.0","","","","","20819.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_面積","ha","…","","","","","17863.0","","","","","17494.0","","","","","17282.0","","","","","16978.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_果樹園（農家数）","戸","…","","","","","26702.0","","","","","23867.0","","","","","22282.0","","","","","20183.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_果樹園（面積）","ha","…","","","","","17671.0","","","","","17136.0","","","","","16919.0","","","","","16722.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_茶園（農家数）","戸","…","","","","","521.0","","","","","360.0","","","","","284.0","","","","","211.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_茶園（面積）","ha","…","","","","","47.0","","","","","40.0","","","","","31.0","","","","","26.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_桑園（農家数）","戸","…","","","","","37.0","","","","","6.0","","","","","3.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_桑園（面積）","ha","…","","","","","11.0","","","","","2.0","","","","","0.0","","","","","…","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_その他の樹園地（農家数）","戸","…","","","","","851.0","","","","","1153.0","","","","","1052.0","","","","","944.0","","","","","…",""
"農業編（土地）_18_経営耕地総面積_樹園地_その他の樹園地（面積）","ha","…","","","","","133.0","","","","","317.0","","","","","332.0","","","","","230.0","","","","","…",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_19_（昭和60年以降は総農家）","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_借入耕地","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_借入耕地_実農家数","戸","6111.0","","","","","6351.0","","","","","6898.0","","","","","7438.0","","","","","8490.0","","","","","…",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_借入耕地_実農家数（うち田）","戸","4583.0","","","","","4863.0","","","","","5112.0","","","","","5152.0","","","","","5591.0","","","","","…",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_借入耕地_面積","ha","1195.0","","","","","1201.0","","","","","1643.0","","","","","1886.0","","","","","2291.0","","","","","…",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_借入耕地_面積（うち田）","ha","846.0","","","","","870.0","","","","","1110.0","","","","","1110.0","","","","","1303.0","","","","","…",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_貸付耕地","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_貸付耕地_実農家数","戸","4156.0","","","","","3881.0","","","","","4114.0","","","","","4132.0","","","","","5312.0","","","","","…",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_貸付耕地_実農家数（うち田）","戸","3473.0","","","","","3135.0","","","","","3261.0","","","","","3108.0","","","","","3804.0","","","","","…",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_貸付耕地_面積","ha","862.0","","","","","841.0","","","","","915.0","","","","","934.0","","","","","1198.0","","","","","…",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_貸付耕地_面積（うち田）","ha","691.0","","","","","631.0","","","","","653.0","","","","","624.0","","","","","737.0","","","","","…",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_借入農家割合（%）","%","10.6","","","","","12.3","","","","","14.6","","","","","17.3","","","","","21.3","","","","","…",""
"農業編（土地）_19_借入・貸付耕地のある農家数と面積_貸付農家割合（%)","%","7.2","","","","","7.5","","","","","8.7","","","","","9.6","","","","","13.3","","","","","…",""
"農業編（土地）_19_販売農家","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_19_販売農家_借入耕地","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_19_販売農家_借入耕地_実農家数","戸","…","","","","","5079.0","","","","","5684.0","","","","","6233.0","","","","","7116.0","","","","","6859.0",""
"農業編（土地）_19_販売農家_借入耕地_実農家数（うち田）","戸","…","","","","","3941.0","","","","","4195.0","","","","","4237.0","","","","","4578.0","","","","","…",""
"農業編（土地）_19_販売農家_借入耕地_面積","ha","…","","","","","1075.0","","","","","1517.0","","","","","1763.0","","","","","2157.0","","","","","2354.47",""
"農業編（土地）_19_販売農家_借入耕地_面積（うち田）","ha","…","","","","","769.0","","","","","1008.0","","","","","1012.0","","","","","1198.0","","","","","…",""
"農業編（土地）_19_販売農家_貸付耕地","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_19_販売農家_貸付耕地_実農家数","戸","…","","","","","2706.0","","","","","2747.0","","","","","2715.0","","","","","3360.0","","","","","2992.0",""
"農業編（土地）_19_販売農家_貸付耕地_実農家数（うち田）","戸","…","","","","","2187.0","","","","","2152.0","","","","","2001.0","","","","","2297.0","","","","","…",""
"農業編（土地）_19_販売農家_貸付耕地_面積","ha","…","","","","","604.0","","","","","611.0","","","","","619.0","","","","","763.0","","","","","743.82",""
"農業編（土地）_19_販売農家_貸付耕地_面積（うち田）","ha","…","","","","","447.0","","","","","423.0","","","","","397.0","","","","","430.0","","","","","…",""
"農業編（土地）_19_販売農家_借入農家割合（%）","%","…","","","","","13.3","","","","","16.5","","","","","19.6","","","","","24.8","","","","","26.79924982417754",""
"農業編（土地）_19_販売農家_貸付農家割合（%)","%","…","","","","","7.1","","","","","8.0","","","","","8.6","","","","","11.7","","","","","11.690239899976557",""
"農業編（土地）_19_販売農家","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_20_耕作放棄地","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_20_（昭和60年以降は総農家）","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_20_耕作放棄地_農家数","戸","3329.0","","","","","3323.0","","","","","…","","","","","…","","","","","…","","","","","…",""
"農業編（土地）_20_耕作放棄地_面積","ha","452.0","","","","","561.0","","","","","…","","","","","…","","","","","…","","","","","…",""
"農業編（土地）_20_販売農家","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_20_販売農家_農家数","戸","…","","","","","2302.0","","","","","…","","","","","…","","","","","…","","","","","…",""
"農業編（土地）_20_販売農家_面積","ha","…","","","","","416.0","","","","","…","","","","","…","","","","","…","","","","","…",""
"農業編（土地）_20_総農家数","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_20_総農家数_実農家数","戸","…","","","","","…","","","","","7638.0","","","","","6270.0","","","","","8599.0","","","","","8761.0",""
"農業編（土地）_20_総農家数_面積","ha","…","","","","","…","","","","","1496.0","","","","","1387.0","","","","","1899.0","","","","","2022.13",""
"農業編（土地）_20_総農家数_農家数（田）","戸","…","","","","","…","","","","","4253.0","","","","","3497.0","","","","","5014.0","","","","","…",""
"農業編（土地）_20_総農家数_面積（田）","ha","…","","","","","…","","","","","579.0","","","","","506.0","","","","","729.0","","","","","…",""
"農業編（土地）_20_総農家数_農家数（畑）","戸","…","","","","","…","","","","","1906.0","","","","","1633.0","","","","","1681.0","","","","","…",""
"農業編（土地）_20_総農家数_面積（畑）","ha","…","","","","","…","","","","","217.0","","","","","231.0","","","","","227.0","","","","","…",""
"農業編（土地）_20_総農家数_農家数（樹園地）","戸","…","","","","","…","","","","","2647.0","","","","","2068.0","","","","","3139.0","","","","","…",""
"農業編（土地）_20_総農家数_面積（樹園地）","ha","…","","","","","…","","","","","700.0","","","","","651.0","","","","","943.0","","","","","…",""
"農業編（土地）_20_販売農家","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（土地）_20_販売農家_実農家数","戸","…","","","","","…","","","","","5236.0","","","","","4271.0","","","","","5788.0","","","","","5426.0",""
"農業編（土地）_20_販売農家_面積","ha","…","","","","","…","","","","","1085.0","","","","","1019.0","","","","","1382.0","","","","","1341.9",""
"農業編（土地）_20_販売農家_農家数（田）","戸","…","","","","","…","","","","","2785.0","","","","","2204.0","","","","","3124.0","","","","","2715.0",""
"農業編（土地）_20_販売農家_面積（田）","ha","…","","","","","…","","","","","382.0","","","","","319.0","","","","","456.0","","","","","414.64",""
"農業編（土地）_20_販売農家_農家数（畑）","戸","…","","","","","…","","","","","1147.0","","","","","1002.0","","","","","984.0","","","","","942.0",""
"農業編（土地）_20_販売農家_面積（畑）","ha","…","","","","","…","","","","","135.0","","","","","160.0","","","","","148.0","","","","","140.65",""
"農業編（土地）_20_販売農家_農家数（樹園地）","戸","…","","","","","…","","","","","2054.0","","","","","1643.0","","","","","2480.0","","","","","2525.0",""
"農業編（土地）_20_販売農家_面積（樹園地）","ha","…","","","","","…","","","","","569.0","","","","","540.0","","","","","779.0","","","","","786.61",""
"農業編（農作物・家畜）","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農作物・家畜）_21_（昭和60年以降は販売農家）","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_水稲（収穫農家数）","戸","39898.0","","","","","26399.0","","","","","22872.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_水稲（収穫面積）","ha","12614.0","","","","","9634.0","","","","","8357.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_小麦（収穫農家数）","戸","226.0","","","","","126.0","","","","","40.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_小麦（収穫面積）","ha","6.0","","","","","4.0","","","","","1.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_ばれいしょ（収穫農家数）","戸","10447.0","","","","","9801.0","","","","","4127.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_ばれいしょ（収穫面積）","ha","59.0","","","","","38.0","","","","","19.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_大豆（収穫農家数）","戸","6684.0","","","","","5340.0","","","","","2575.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_大豆（収穫面積）","ha","202.0","","","","","115.0","","","","","69.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_きゅうり（収穫農家数）","戸","20972.0","","","","","17457.0","","","","","10076.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_きゅうり（収穫面積）","ha","77.0","","","","","50.0","","","","","45.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_トマト（収穫農家数）","戸","11175.0","","","","","10540.0","","","","","6503.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_トマト（収穫面積）","ha","61.0","","","","","34.0","","","","","43.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_キャベツ（収穫農家数）","戸","13541.0","","","","","12890.0","","","","","7946.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_キャベツ（収穫面積）","ha","307.0","","","","","374.0","","","","","311.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_結球はくさい（収穫農家数）","戸","16638.0","","","","","14568.0","","","","","8567.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_結球はくさい（収穫面積）","ha","97.0","","","","","119.0","","","","","118.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_だいこん（収穫農家数）","戸","25075.0","","","","","19342.0","","","","","11032.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_だいこん（収穫面積）","ha","391.0","","","","","281.0","","","","","220.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_りんご（栽培農家数）","戸","2.0","","","","","50.0","","","","","98.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_りんご（栽培面積）","ha","0.0","","","","","9.0","","","","","14.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_ぶどう（栽培農家数）","戸","345.0","","","","","389.0","","","","","419.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_ぶどう（栽培面積）","ha","60.0","","","","","69.0","","","","","79.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_温州みかん（栽培農家数）","戸","23729.0","","","","","17984.0","","","","","15088.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_作物別収穫（作付）・栽培農家数と収穫（作付）・栽培面積_温州みかん（栽培面積）","ha","11142.0","","","","","8997.0","","","","","7979.0","","","","","…","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農作物・家畜）_21_販売農家_水稲（収穫農家数）","戸","…","","","","","…","","","","","…","","","","","19994.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_水稲（収穫面積）","ha","…","","","","","…","","","","","…","","","","","7541.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_水稲（販売のあった収穫農家数）","戸","…","","","","","…","","","","","…","","","","","13987.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_水稲（販売のあった収穫農家の収穫面積）","ha","…","","","","","…","","","","","…","","","","","6342.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_小麦（収穫農家数）","戸","…","","","","","…","","","","","…","","","","","34.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_小麦（収穫面積）","ha","…","","","","","…","","","","","…","","","","","1.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_小麦（販売のあった収穫農家数）","戸","…","","","","","…","","","","","…","","","","","1.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_小麦（販売のあった収穫農家の収穫面積）","ha","…","","","","","…","","","","","…","","","","","0.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_ばれいしょ（収穫農家数）","戸","…","","","","","…","","","","","…","","","","","5279.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_ばれいしょ（収穫面積）","ha","…","","","","","…","","","","","…","","","","","28.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_ばれいしょ（販売のあった収穫農家数）","戸","…","","","","","…","","","","","…","","","","","172.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_ばれいしょ（販売のあった収穫農家の収穫面積）","ha","…","","","","","…","","","","","…","","","","","9.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_大豆（収穫農家数）","戸","…","","","","","…","","","","","…","","","","","1876.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_大豆（収穫面積）","ha","…","","","","","…","","","","","…","","","","","32.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_大豆（販売のあった収穫農家数）","戸","…","","","","","…","","","","","…","","","","","199.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_大豆（販売のあった収穫農家の収穫面積）","ha","…","","","","","…","","","","","…","","","","","15.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_きゅうり（収穫農家数）","戸","…","","","","","…","","","","","…","","","","","8549.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_きゅうり（収穫面積）","ha","…","","","","","…","","","","","…","","","","","35.0","","","","","…","","","","","…",""
"農業編（農作物・家畜）_21_販売農家_きゅうり（販売のあった収穫農家数）","戸","…","","","","","…","","","","","…","","","","","402.0","","","","","…","","","","","…",""
